date,product_id,product_name,brand,category,selling_price,units_sold,revenue,promotion_discount_pct
2025-11-20,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,17.35,188,3261.8,0.0
2025-11-21,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,14.86,213,3165.18,0.0
2025-11-22,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,11.72,358,4195.76,0.0
2025-11-23,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,16.75,243,4070.25,0.0
2025-11-24,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,15.63,196,3063.48,10.0
2025-11-25,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,17.49,190,3323.1,0.0
2025-11-26,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,12.12,254,3078.48,0.0
2025-11-27,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,11.92,265,3158.8,0.0
2025-11-28,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,14.34,212,3040.08,0.0
2025-11-29,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,12.68,320,4057.6,10.0
2025-11-30,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,11.61,344,3993.84,0.0
2025-12-01,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,13.21,305,4029.05,10.0
2025-12-02,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,16.18,226,3656.68,0.0
2025-12-03,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,14.26,282,4021.32,0.0
2025-12-04,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,10.95,401,4390.95,0.0
2025-12-05,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,11.83,336,3974.88,0.0
2025-12-06,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,17.34,289,5011.26,0.0
2025-12-07,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,16.34,286,4673.24,0.0
2025-12-08,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,11.31,393,4444.83,10.0
2025-12-09,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,13.74,281,3860.94,0.0
2025-12-10,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,14.13,268,3786.84,5.0
2025-12-11,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,17.06,189,3224.34,0.0
2025-12-12,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,15.31,220,3368.2,5.0
2025-12-13,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,14.3,312,4461.6,0.0
2025-12-14,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,11.93,420,5010.6,0.0
2025-12-15,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,16.11,226,3640.86,0.0
2025-12-16,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,16.96,202,3425.92,5.0
2025-12-17,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,17.15,186,3189.9,10.0
2025-12-18,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,12.01,296,3554.96,0.0
2025-12-19,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,12.92,283,3656.36,5.0
2025-12-20,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,12.54,392,4915.68,0.0
2025-12-21,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,13.15,342,4497.3,0.0
2025-12-22,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,14.46,237,3427.02,10.0
2025-12-23,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,16.3,201,3276.3,0.0
2025-12-24,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,17.61,201,3539.61,0.0
2025-12-25,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,12.03,299,3596.97,10.0
2025-12-26,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,16.39,198,3245.22,0.0
2025-12-27,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,15.78,264,4165.92,10.0
2025-12-28,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,11.14,394,4389.16,0.0
2025-12-29,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,11.44,327,3740.88,0.0
2025-12-30,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,15.03,213,3201.39,5.0
2025-12-31,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,11.07,318,3520.26,0.0
2026-01-01,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,12.92,353,4560.76,10.0
2026-01-02,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,15.13,294,4448.22,0.0
2026-01-03,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,13.96,368,5137.28,10.0
2026-01-04,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,15.67,347,5437.49,0.0
2026-01-05,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,14.59,306,4464.54,0.0
2026-01-06,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,14.12,309,4363.08,10.0
2026-01-07,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,13.65,302,4122.3,0.0
2026-01-08,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,11.38,384,4369.92,10.0
2026-01-09,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,15.13,276,4175.88,5.0
2026-01-10,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,14.22,408,5801.76,10.0
2026-01-11,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,12.38,398,4927.24,5.0
2026-01-12,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,15.97,223,3561.31,10.0
2026-01-13,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,11.17,360,4021.2,0.0
2026-01-14,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,11.76,369,4339.44,0.0
2026-01-15,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,16.34,230,3758.2,0.0
2026-01-16,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,16.79,228,3828.12,0.0
2026-01-17,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,11.94,453,5408.82,0.0
2026-01-18,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,14.44,349,5039.56,0.0
2026-01-19,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,16.96,212,3595.52,0.0
2026-01-20,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,11.4,353,4024.2,0.0
2026-01-21,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,13.64,304,4146.56,0.0
2026-01-22,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,16.71,208,3475.68,0.0
2026-01-23,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,14.24,273,3887.52,0.0
2026-01-24,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,12.19,402,4900.38,0.0
2026-01-25,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,13.01,415,5399.15,0.0
2026-01-26,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,12.91,285,3679.35,10.0
2026-01-27,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,15.6,218,3400.8,0.0
2026-01-28,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,17.5,204,3570.0,5.0
2026-01-29,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,12.4,302,3744.8,5.0
