snapshot_timestamp,product_id,product_name,brand,category,retailer_company,store_location,warehouse_location,current_stock,reserved_stock,reorder_point,safety_stock,sales_velocity_per_day,lead_time_days,stock_age_days,inventory_holding_cost,stockout_risk_score,warehouse
2026-06-21 19:57:13,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,Reliance Retail,Bengaluru,Pune,1008,18,206,84,36.01,5,30,2774.1,0.07,Pune
2026-06-21 19:57:13,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,Reliance Retail,Mumbai,Bengaluru,1424,124,319,202,55.76,14,112,529.24,0.78,Bengaluru
2026-06-21 19:57:13,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,Reliance Retail,Chennai,Chennai,2717,36,597,260,158.12,3,46,4313.72,0.59,Chennai
2026-06-21 19:57:13,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,Spencer's,Ahmedabad,Hyderabad,1335,170,137,88,40.59,15,47,3098.08,0.68,Hyderabad
2026-06-21 19:57:13,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,Spencer's,Hyderabad,Mumbai,345,69,108,80,24.39,8,36,2540.35,0.8,Mumbai
2026-06-21 19:57:13,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,BigBasket,Chennai,Mumbai,4106,165,977,638,152.39,10,94,1601.65,0.47,Mumbai
2026-06-21 19:57:13,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,BigBasket,Delhi,Bengaluru,2320,185,453,239,70.34,14,100,751.72,0.79,Bengaluru
2026-06-21 19:57:13,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,BigBasket,Mumbai,Chennai,3390,64,599,396,180.03,8,114,4615.46,0.46,Chennai
2026-06-21 19:57:13,SKU_1001,Coca Cola 200ml Regular,Coca Cola,Beverages,BigBasket,Pune,Delhi,311,184,119,67,33.64,3,50,2217.29,0.95,Delhi
2026-06-21 19:57:13,SKU_1001,Coca Cola 200ml Regular,Coca Cola,Beverages,BigBasket,Delhi,Kolkata,4225,184,901,620,123.47,12,114,2916.37,0.29,Kolkata
2026-06-21 19:57:13,SKU_1001,Coca Cola 200ml Regular,Coca Cola,Beverages,BigBasket,Mumbai,Ahmedabad,1612,10,757,591,146.4,13,34,4873.5,0.74,Ahmedabad
2026-06-21 19:57:13,SKU_1001,Coca Cola 200ml Regular,Coca Cola,Beverages,BigBasket,Chennai,Bengaluru,1294,49,729,400,119.07,4,70,4790.75,0.88,Bengaluru
2026-06-21 19:57:13,SKU_1001,Coca Cola 200ml Regular,Coca Cola,Beverages,BigBasket,Bengaluru,Mumbai,4913,102,1106,831,203.29,15,104,1883.81,0.1,Mumbai
2026-06-21 19:57:13,SKU_1001,Coca Cola 200ml Regular,Coca Cola,Beverages,DMart,Mumbai,Delhi,1131,42,779,517,114.63,10,22,1692.75,0.84,Delhi
2026-06-21 19:57:13,SKU_1001,Coca Cola 200ml Regular,Coca Cola,Beverages,DMart,Chennai,Bengaluru,1395,192,579,303,101.74,12,84,2180.39,0.86,Bengaluru
2026-06-21 19:57:13,SKU_1001,Coca Cola 200ml Regular,Coca Cola,Beverages,Spencer's,Mumbai,Kolkata,443,28,114,77,19.31,2,30,803.3,0.08,Kolkata
