product_id,retailer_company,store_location,retailer_type,business_strategy,region,minimum_safe_price,supply_risk,optimal_price,elasticity,inventory_pressure,urgency_score,market_pressure,competitive_gap,retailer_type_encoded,business_strategy_encoded,region_encoded,event_score,target_E1_weight,target_E2_weight,target_E3_weight,target_E4_weight
SKU_1041,BigBasket,Mumbai,discount,volume_first,urban,18.24,0.8936954,31.057,-0.2163692,-0.123,0.0,0.775,1.48,0.0,0.0,0.0,0.0,0.29237485,0.2080509,0.11028129,0.38929296
SKU_1041,BigBasket,Mumbai,standard,balanced,suburban,18.24,0.254,31.057,-0.2163692,-1.0,1.0,0.775,1.48,1.0,1.0,1.0,0.0,0.17441769,0.13980019,0.33452788,0.35125425
SKU_1041,BigBasket,Mumbai,premium,margin_first,urban,18.24,0.254,31.057,-0.2163692,-0.123,0.0,0.775,1.5856632,2.0,2.0,0.0,0.0,0.30055153,0.12360979,0.19519955,0.38063914
SKU_1041,BigBasket,Mumbai,standard,margin_first,rural,18.24,0.254,31.057,-0.2163692,-0.123,0.0,0.775,1.48,1.0,2.0,2.0,0.0,0.31830376,0.13091086,0.14766364,0.40312174
SKU_1068,JioMart,Hyderabad,discount,volume_first,urban,32.54,0.87586033,65.312,-0.32131723,-0.001,0.0,0.618,0.56,0.0,0.0,0.0,0.0,0.31144464,0.22870626,0.11859117,0.34125793
SKU_1068,JioMart,Hyderabad,standard,balanced,suburban,32.54,0.201,65.312,-0.32131723,-1.0,1.0,0.618,0.56,1.0,1.0,1.0,0.0,0.18079649,0.15922718,0.36684164,0.2931347
SKU_1068,JioMart,Hyderabad,premium,margin_first,urban,32.54,0.201,65.312,-0.32131723,-0.001,0.0,0.618,1.6281695,2.0,2.0,0.0,0.0,0.29941624,0.13357164,0.2013946,0.3656175
SKU_1068,JioMart,Hyderabad,standard,margin_first,rural,32.54,0.201,65.312,-0.32131723,-0.001,0.0,0.618,0.56,1.0,2.0,2.0,0.0,0.34191224,0.1525294,0.16427033,0.34128803
SKU_1080,More Retail,Chennai,discount,volume_first,urban,39.45,0.98391145,59.826,-0.30388543,-0.224,0.0,0.514,3.56,0.0,0.0,0.0,0.0,0.31152186,0.21552162,0.11216006,0.36079645
SKU_1080,More Retail,Chennai,standard,balanced,suburban,39.45,0.25,59.826,-0.30388543,-1.0,1.0,0.514,3.56,1.0,1.0,1.0,0.0,0.18027994,0.14977312,0.3472058,0.32274115
SKU_1080,More Retail,Chennai,premium,margin_first,urban,39.45,0.25,59.826,-0.30388543,-0.224,0.0,0.514,-1.943363,2.0,2.0,0.0,0.0,0.312121,0.13378438,0.20324159,0.35085303
SKU_1080,More Retail,Chennai,standard,margin_first,rural,39.45,0.25,59.826,-0.30388543,-0.224,0.0,0.514,3.56,1.0,2.0,2.0,0.0,0.33136293,0.14203204,0.1541223,0.37248275
SKU_1036,Reliance Retail,Delhi,discount,volume_first,urban,13.96,0.97501814,21.71,-0.1677524,-0.347,0.0,0.876,0.17,0.0,0.0,0.0,0.0,0.3220641,0.21747583,0.11647781,0.34398225
SKU_1036,Reliance Retail,Delhi,standard,balanced,suburban,13.96,0.192,21.71,-0.1677524,1.0,1.0,0.876,0.17,1.0,1.0,1.0,0.0,0.17897896,0.15052699,0.3667602,0.30373386
