product_id,product_name,brand,supplier_id,supplier_location,supplier_price,freight_cost,warehouse_cost,gst_tax,lead_time_days,supplier_reliability,minimum_order_quantity
SKU_1000,Coca Cola 200ml Mini,Coca Cola,SUP_564,Mumbai,9.19,8.96,9.58,0.7,6,0.98,100
SKU_1000,Coca Cola 200ml Mini,Coca Cola,SUP_740,Kolkata,9.68,3.7,8.58,0.7,10,0.9,100
SKU_1000,Coca Cola 200ml Mini,Coca Cola,SUP_897,Hyderabad,9.52,4.58,9.27,0.7,11,0.83,50
SKU_1000,Coca Cola 200ml Mini,Coca Cola,SUP_951,Pune,9.19,7.81,3.77,0.7,2,0.81,50
SKU_1001,Coca Cola 200ml Regular,Coca Cola,SUP_645,Pune,11.92,17.65,2.13,1.0,12,0.86,100
SKU_1001,Coca Cola 200ml Regular,Coca Cola,SUP_533,Delhi,11.12,15.96,9.36,1.0,5,0.92,500
SKU_1001,Coca Cola 200ml Regular,Coca Cola,SUP_548,Hyderabad,12.19,12.4,5.06,1.0,5,0.8,200
SKU_1001,Coca Cola 200ml Regular,Coca Cola,SUP_702,Delhi,10.76,10.86,1.06,1.0,12,0.76,50
SKU_1002,Coca Cola 200ml Value,Coca Cola,SUP_785,Bengaluru,16.21,5.81,2.93,1.2,4,0.92,500
SKU_1002,Coca Cola 200ml Value,Coca Cola,SUP_516,Delhi,16.58,9.57,1.85,1.2,12,0.85,500
SKU_1002,Coca Cola 200ml Value,Coca Cola,SUP_155,Chennai,16.95,15.82,6.88,1.2,12,0.77,500
SKU_1002,Coca Cola 200ml Value,Coca Cola,SUP_211,Delhi,17.65,14.81,2.72,1.2,10,0.86,500
SKU_1003,Coca Cola 200ml Family,Coca Cola,SUP_553,Pune,17.13,16.77,8.75,1.5,10,0.77,50
SKU_1003,Coca Cola 200ml Family,Coca Cola,SUP_969,Delhi,18.76,16.82,2.5,1.5,9,0.87,500
SKU_1003,Coca Cola 200ml Family,Coca Cola,SUP_102,Bengaluru,18.61,4.63,3.39,1.5,9,0.82,500
SKU_1003,Coca Cola 200ml Family,Coca Cola,SUP_159,Hyderabad,16.91,6.75,7.62,1.5,2,0.93,50
SKU_1004,Coca Cola 750ml Mini,Coca Cola,SUP_261,Mumbai,15.88,15.64,9.65,1.4,3,0.95,50
SKU_1004,Coca Cola 750ml Mini,Coca Cola,SUP_340,Bengaluru,16.07,12.8,2.08,1.4,11,0.81,50
SKU_1004,Coca Cola 750ml Mini,Coca Cola,SUP_697,Hyderabad,16.12,8.71,5.71,1.4,6,0.8,200
SKU_1004,Coca Cola 750ml Mini,Coca Cola,SUP_787,Chennai,15.34,8.33,3.7,1.4,7,0.97,50
SKU_1005,Coca Cola 750ml Regular,Coca Cola,SUP_175,Hyderabad,23.82,17.94,2.92,2.0,6,0.78,200
SKU_1005,Coca Cola 750ml Regular,Coca Cola,SUP_478,Kolkata,23.49,16.07,2.42,2.0,10,0.92,50
SKU_1005,Coca Cola 750ml Regular,Coca Cola,SUP_779,Mumbai,22.88,10.87,9.45,2.0,4,0.81,50
SKU_1005,Coca Cola 750ml Regular,Coca Cola,SUP_388,Hyderabad,23.09,4.49,2.9,2.0,7,0.8,200
SKU_1005,Coca Cola 750ml Regular,Coca Cola,SUP_966,Mumbai,22.41,6.02,1.83,2.0,8,0.95,50
SKU_1006,Coca Cola 750ml Value,Coca Cola,SUP_859,Bengaluru,27.3,6.19,5.97,2.4,8,0.88,50
SKU_1006,Coca Cola 750ml Value,Coca Cola,SUP_252,Hyderabad,25.37,16.13,1.32,2.4,7,0.89,100
SKU_1006,Coca Cola 750ml Value,Coca Cola,SUP_473,Pune,26.58,2.67,9.75,2.4,2,0.97,100
SKU_1007,Coca Cola 750ml Family,Coca Cola,SUP_995,Bengaluru,38.49,14.48,9.76,3.0,4,0.97,100
SKU_1007,Coca Cola 750ml Family,Coca Cola,SUP_930,Delhi,42.45,17.62,8.93,3.0,2,0.79,200
SKU_1007,Coca Cola 750ml Family,Coca Cola,SUP_785,Pune,42.02,8.59,7.62,3.0,5,0.81,50
SKU_1007,Coca Cola 750ml Family,Coca Cola,SUP_581,Delhi,39.95,2.62,2.8,3.0,9,0.83,100
SKU_1007,Coca Cola 750ml Family,Coca Cola,SUP_508,Kolkata,39.12,12.56,3.51,3.0,3,0.98,200
SKU_1008,Coca Cola 1L Mini,Coca Cola,SUP_649,Kolkata,20.53,17.7,9.45,1.68,3,0.96,200
SKU_1008,Coca Cola 1L Mini,Coca Cola,SUP_371,Mumbai,19.94,17.4,1.98,1.68,8,0.83,200
SKU_1008,Coca Cola 1L Mini,Coca Cola,SUP_218,Bengaluru,20.62,17.75,9.1,1.68,5,0.81,500
SKU_1008,Coca Cola 1L Mini,Coca Cola,SUP_651,Chennai,19.47,16.81,7.47,1.68,12,0.8,500
SKU_1008,Coca Cola 1L Mini,Coca Cola,SUP_438,Hyderabad,19.65,12.63,3.83,1.68,3,0.92,200
SKU_1009,Coca Cola 1L Regular,Coca Cola,SUP_402,Hyderabad,30.63,8.44,2.15,2.4,8,0.91,500
SKU_1009,Coca Cola 1L Regular,Coca Cola,SUP_730,Hyderabad,31.7,16.44,3.71,2.4,10,0.95,200
SKU_1009,Coca Cola 1L Regular,Coca Cola,SUP_693,Hyderabad,30.15,8.88,6.89,2.4,9,0.86,100
SKU_1009,Coca Cola 1L Regular,Coca Cola,SUP_915,Chennai,31.04,14.7,2.53,2.4,3,0.82,200
