product_id,product_name,brand,category,base_market_price,shelf_life_days
SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,14.0,117
SKU_1001,Coca Cola 200ml Regular,Coca Cola,Beverages,20.0,72
SKU_1002,Coca Cola 200ml Value,Coca Cola,Beverages,24.0,200
SKU_1003,Coca Cola 200ml Family,Coca Cola,Beverages,30.0,185
SKU_1004,Coca Cola 750ml Mini,Coca Cola,Beverages,28.0,174
SKU_1005,Coca Cola 750ml Regular,Coca Cola,Beverages,40.0,131
SKU_1006,Coca Cola 750ml Value,Coca Cola,Beverages,48.0,112
SKU_1007,Coca Cola 750ml Family,Coca Cola,Beverages,60.0,339
SKU_1008,Coca Cola 1L Mini,Coca Cola,Beverages,33.6,104
SKU_1009,Coca Cola 1L Regular,Coca Cola,Beverages,48.0,362
SKU_1010,Coca Cola 1L Value,Coca Cola,Beverages,57.6,276
SKU_1011,Coca Cola 1L Family,Coca Cola,Beverages,72.0,76
SKU_1012,Coca Cola 2L Mini,Coca Cola,Beverages,66.5,75
SKU_1013,Coca Cola 2L Regular,Coca Cola,Beverages,95.0,107
SKU_1014,Coca Cola 2L Value,Coca Cola,Beverages,114.0,171
SKU_1015,Coca Cola 2L Family,Coca Cola,Beverages,142.5,179
SKU_1016,Coke Zero 300ml Mini,Coca Cola,Beverages,28.0,318
SKU_1017,Coke Zero 300ml Regular,Coca Cola,Beverages,40.0,73
SKU_1018,Coke Zero 300ml Value,Coca Cola,Beverages,48.0,347
SKU_1019,Coke Zero 300ml Family,Coca Cola,Beverages,60.0,161
SKU_1020,Coke Zero Can 330ml Mini,Coca Cola,Beverages,31.5,339
SKU_1021,Coke Zero Can 330ml Regular,Coca Cola,Beverages,45.0,274
SKU_1022,Coke Zero Can 330ml Value,Coca Cola,Beverages,54.0,172
SKU_1023,Coke Zero Can 330ml Family,Coca Cola,Beverages,67.5,289
SKU_1024,Pepsi 250ml Mini,Pepsi,Beverages,14.0,361
SKU_1025,Pepsi 250ml Regular,Pepsi,Beverages,20.0,202
SKU_1026,Pepsi 250ml Value,Pepsi,Beverages,24.0,63
SKU_1027,Pepsi 250ml Family,Pepsi,Beverages,30.0,141
