date,product_id,product_name,brand,category,selling_price,units_sold,revenue,promotion_discount_pct
2025-01-01,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,13.13,121,1588.73,10
2025-01-02,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,13.22,114,1507.08,0
2025-01-03,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,13.59,108,1467.72,0
2025-01-04,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,13.5,151,2038.5,5
2025-01-05,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,15.27,106,1618.62,5
2025-01-06,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,14.63,96,1404.48,15
2025-01-07,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,14.74,91,1341.34,0
2025-01-08,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,15.88,82,1302.16,5
2025-01-09,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,16.59,78,1294.02,15
2025-01-10,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,16.46,79,1300.34,5
2025-01-11,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,16.23,86,1395.78,0
2025-01-12,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,16.31,91,1484.21,0
2025-01-13,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,16.56,77,1275.12,0
2025-01-14,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,15.56,73,1135.88,0
2025-01-15,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,15.69,78,1223.82,5
2025-01-16,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,15.06,78,1174.68,15
2025-01-17,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,14.49,85,1231.65,5
2025-01-18,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,13.9,121,1681.9,0
2025-01-19,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,13.74,114,1566.36,0
2025-01-20,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,13.46,109,1467.14,15
2025-01-21,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,13.09,111,1452.99,15
2025-01-22,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,11.47,123,1410.81,10
2025-01-23,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,11.14,134,1492.76,10
2025-01-24,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,10.83,156,1689.48,5
2025-01-25,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,10.21,189,1929.69,10
2025-01-26,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,9.03,242,2185.26,0
2025-01-27,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,8.72,175,1526.0,0
2025-01-28,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,8.3,214,1776.2,0
2025-01-29,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,8.74,178,1555.72,0
2025-01-30,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,7.54,256,1930.24,5
2025-01-31,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,7.63,221,1686.23,15
2025-02-01,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,7.5,397,2977.5,15
2025-02-02,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,8.24,329,2710.96,10
2025-02-03,SKU_1000,Coca Cola 200ml Mini,Coca Cola,Beverages,8.4,271,2276.4,10
